BrokerName,BrokerUUID,ExecutionGroupLabel,ExecutionGroupUUID,CollectionTimestamp,StartTimestamp,EndTimeStamp,summary_InitialMemoryInMB,summary_UsedMemoryInMB,summary_CommittedMemoryInMB,summary_MaxMemoryInMB,summary_CumulativeGCTimeInSeconds,summary_CumulativeNumberOfGCCollections,Heap Memory_InitialMemoryInMB,Heap Memory_UsedMemoryInMB,Heap Memory_CommittedMemoryInMB,Heap Memory_MaxMemoryInMB,Non-Heap Memory_InitialMemoryInMB,Non-Heap Memory_UsedMemoryInMB,Non-Heap Memory_CommittedMemoryInMB,Non-Heap Memory_MaxMemoryInMB,Garbage Collection - scavenge_CumulativeGCTimeInSeconds,Garbage Collection - scavenge_CumulativeNumberOfGCCollections,Garbage Collection - global_CumulativeGCTimeInSeconds,Garbage Collection - global_CumulativeNumberOfGCCollections
SPPNBRK,d301a4ba-bba0-11eb-82bc-c0a804320000,SPPNT999,6de97d59-2bc0-4604-91ec-56ff676ad035,2026-03-02 00:05:25.728,2026-03-02 00:00:25.729,2026-03-02 00:05:25.729,787,127,813,-1,0,2,512,93,512,768,275,34,301,-1,0,2,0,0
SPPNBRK,d301a4ba-bba0-11eb-82bc-c0a804320000,SPPNT999,6de97d59-2bc0-4604-91ec-56ff676ad035,2026-03-02 00:05:25.728,2026-03-02 00:01:31.584,2026-03-02 00:06:31.584,787,202,860,-1,0,7,512,125,518,768,275,77,342,-1,0,7,0,0
SPPNBRK,d301a4ba-bba0-11eb-82bc-c0a804320000,SPPNT999,6de97d59-2bc0-4604-91ec-56ff676ad035,2026-03-02 00:05:25.728,2026-03-02 00:02:37.468,2026-03-02 00:07:37.468,787,301,872,-1,0,15,512,215,518,768,275,86,354,-1,0,15,0,0
SPPNBRK,d301a4ba-bba0-11eb-82bc-c0a804320000,SPPNT999,6de97d59-2bc0-4604-91ec-56ff676ad035,2026-03-02 00:05:25.728,2026-03-02 00:03:43.326,2026-03-02 00:08:43.326,787,260,857,-1,0,19,512,172,518,768,275,88,339,-1,0,19,0,0
SPPNBRK,d301a4ba-bba0-11eb-82bc-c0a804320000,SPPNT999,6de97d59-2bc0-4604-91ec-56ff676ad035,2026-03-02 00:05:25.728,2026-03-02 00:04:49.183,2026-03-02 00:09:49.183,787,248,873,-1,0,22,512,159,518,768,275,89,355,-1,0,22,0,0
SPPNBRK,d301a4ba-bba0-11eb-82bc-c0a804320000,SPPNT999,6de97d59-2bc0-4604-91ec-56ff676ad035,2026-03-02 00:05:25.728,2026-03-02 00:05:52.113,2026-03-02 00:10:52.113,787,254,858,-1,0,25,512,164,518,768,275,90,340,-1,0,25,0,0
SPPNBRK,d301a4ba-bba0-11eb-82bc-c0a804320000,SPPNT999,6de97d59-2bc0-4604-91ec-56ff676ad035,2026-03-02 00:05:25.728,2026-03-02 00:06:57.966,2026-03-02 00:11:57.966,787,226,860,-1,0,28,512,133,518,768,275,93,342,-1,0,28,0,0
SPPNBRK,d301a4ba-bba0-11eb-82bc-c0a804320000,SPPNT999,6de97d59-2bc0-4604-91ec-56ff676ad035,2026-03-02 00:05:25.728,2026-03-02 00:08:03.825,2026-03-02 00:13:03.825,787,287,860,-1,0,30,512,194,518,768,275,93,342,-1,0,30,0,0
SPPNBRK,d301a4ba-bba0-11eb-82bc-c0a804320000,SPPNT999,6de97d59-2bc0-4604-91ec-56ff676ad035,2026-03-02 00:05:25.728,2026-03-02 00:09:09.687,2026-03-02 00:14:09.687,787,235,874,-1,0,33,512,142,516,768,275,93,358,-1,0,33,0,0
SPPNBRK,d301a4ba-bba0-11eb-82bc-c0a804320000,SPPNT999,6de97d59-2bc0-4604-91ec-56ff676ad035,2026-03-02 00:05:25.728,2026-03-02 00:10:15.543,2026-03-02 00:15:15.543,787,222,858,-1,0,36,512,128,516,768,275,94,342,-1,0,36,0,0
SPPNBRK,d301a4ba-bba0-11eb-82bc-c0a804320000,SPPNT999,6de97d59-2bc0-4604-91ec-56ff676ad035,2026-03-02 00:05:25.728,2026-03-02 00:11:21.403,2026-03-02 00:16:21.403,787,290,858,-1,0,38,512,196,516,768,275,94,342,-1,0,38,0,0
SPPNBRK,d301a4ba-bba0-11eb-82bc-c0a804320000,SPPNT999,6de97d59-2bc0-4604-91ec-56ff676ad035,2026-03-02 00:05:25.728,2026-03-02 00:12:27.258,2026-03-02 00:17:27.258,787,302,858,-1,0,41,512,208,516,768,275,94,342,-1,0,41,0,0
SPPNBRK,d301a4ba-bba0-11eb-82bc-c0a804320000,SPPNT999,6de97d59-2bc0-4604-91ec-56ff676ad035,2026-03-02 00:05:25.728,2026-03-02 00:13:30.186,2026-03-02 00:18:30.186,787,316,858,-1,0,44,512,221,516,768,275,95,342,-1,0,44,0,0
SPPNBRK,d301a4ba-bba0-11eb-82bc-c0a804320000,SPPNT999,6de97d59-2bc0-4604-91ec-56ff676ad035,2026-03-02 00:05:25.728,2026-03-02 00:14:36.048,2026-03-02 00:19:36.048,787,271,857,-1,0,47,512,176,515,768,275,95,342,-1,0,47,0,0
SPPNBRK,d301a4ba-bba0-11eb-82bc-c0a804320000,SPPNT999,6de97d59-2bc0-4604-91ec-56ff676ad035,2026-03-02 00:05:25.728,2026-03-02 00:15:41.906,2026-03-02 00:20:41.906,787,251,857,-1,0,50,512,156,515,768,275,95,342,-1,0,50,0,0
SPPNBRK,d301a4ba-bba0-11eb-82bc-c0a804320000,SPPNT999,6de97d59-2bc0-4604-91ec-56ff676ad035,2026-03-02 00:05:25.728,2026-03-02 00:16:47.765,2026-03-02 00:21:47.765,787,239,857,-1,0,53,512,144,515,768,275,95,342,-1,0,53,0,0
SPPNBRK,d301a4ba-bba0-11eb-82bc-c0a804320000,SPPNT999,6de97d59-2bc0-4604-91ec-56ff676ad035,2026-03-02 00:05:25.728,2026-03-02 00:17:53.621,2026-03-02 00:22:53.621,787,261,858,-1,0,56,512,166,515,768,275,95,343,-1,0,56,0,0
SPPNBRK,d301a4ba-bba0-11eb-82bc-c0a804320000,SPPNT999,6de97d59-2bc0-4604-91ec-56ff676ad035,2026-03-02 00:05:25.728,2026-03-02 00:18:59.481,2026-03-02 00:23:59.481,787,313,858,-1,0,58,512,218,515,768,275,95,343,-1,0,58,0,0
SPPNBRK,d301a4ba-bba0-11eb-82bc-c0a804320000,SPPNT999,6de97d59-2bc0-4604-91ec-56ff676ad035,2026-03-02 00:05:25.728,2026-03-02 00:20:05.335,2026-03-02 00:25:05.335,787,286,857,-1,0,61,512,191,514,768,275,95,343,-1,0,61,0,0
